zpid,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
4171164,0.9813182,-0.85039467,0.6652622,-0.4529818,0.24110696,0.36347178,-0.26106927,0.06606852,-0.03506086,-0.26142195,-0.27888206,-0.4378856,0.3553473,0.57237536,-0.3111662,0.21980022,0.33215314,0.1106882,-0.29433,-0.19459109,-0.10399921,-0.10105385,0.07415092,0.30253986,-0.29792875,-0.21909875,-0.07479839,-0.013946771,0.019658204,0.24159995,0.00021705205,0.1730763
4016685,-1.7251649,1.808675,0.55470055,-0.9054248,0.16601032,-0.06927603,0.65522325,-0.05253151,-0.55947584,0.22754343,0.2805758,-0.22176515,0.016427372,0.12437515,-0.31691656,0.09540916,-0.022534655,-0.5322609,-0.1281768,0.076767385,0.5991186,0.07900492,-0.057092942,-0.25150013,0.07263603,-0.003742443,0.29999742,-0.15573132,0.10349772,-0.16301501,0.22407214,0.43336818
3638932,1.7440097,0.4839367,-0.5592411,0.68536645,-0.019191833,0.3657077,-0.4303872,-0.27050665,0.14148006,0.6628271,0.079465136,-0.1527955,0.36339772,-0.22792137,-0.08023022,-0.039597977,0.004863105,-0.035273124,0.11428841,-0.31377637,-0.38297215,0.039645452,-0.18045093,-0.12563601,-0.32724088,0.09050371,-0.09245957,0.099370666,0.12752476,-0.07427199,0.2033623,0.07173074
4116360,-1.6351746,0.86163974,2.1863115,1.4006478,0.12053339,0.22636431,0.5244149,-0.54361856,0.30894172,-0.17026451,-0.3723815,0.09097923,0.18268454,-0.76974887,0.31998968,0.2185287,-0.33278623,-0.07821358,0.0007145539,0.06700764,0.21511066,-0.15229914,-0.05752263,0.15597643,0.29320416,0.036024928,0.8070166,-0.016831148,0.20898612,0.036916137,-0.3786299,0.34529027
3946804,2.2819593,1.2398332,0.4620213,0.6636901,0.5653001,-0.44040942,-0.49156147,-0.04544401,0.058112845,-0.3234362,0.065326184,0.68524337,-0.46008033,0.21549262,-0.11374746,0.15294123,0.30468774,-0.25488007,-0.3964653,-0.023064101,-0.01263233,-0.115969345,-0.10017939,-0.047545686,0.35458562,-0.0023881614,-0.14039391,-0.037001368,-0.22580992,-0.07234719,-0.053413223,0.13520738
3809704,-3.349673,0.8409978,1.5562892,0.74354047,-0.601141,-0.6797388,-0.3884607,0.40565652,0.9741928,-0.11948805,0.18876818,0.2504279,-0.22449815,0.49340093,0.546848,-0.2801775,0.28989485,-0.20556787,0.406953,-0.2382442,-0.0996623,0.05818682,-0.15459765,-0.5756968,-0.28610307,-0.18948239,0.1437228,-0.1600664,-0.5095414,-0.234275,-0.00741404,-0.02964964
2052958083,0.9088522,-1.8207145,0.12292486,0.3655832,-0.124830395,0.52732795,-0.23721147,-0.030093584,0.121968485,0.2798417,-0.43616837,-0.037216198,0.099515036,0.12974593,-0.23878503,0.48808736,0.25167078,-0.078124635,-0.06384481,-0.20332435,0.25436217,-0.03537679,-0.0079241,-0.16598374,-0.051911317,-0.17903192,0.040987886,0.032449484,-0.3195441,-0.028623499,-0.11661322,0.1338056
2053039487,3.142096,-1.8472779,0.32709393,0.11204932,-0.4220366,0.31507736,0.03544228,0.30146787,0.27782586,0.30696985,-0.68037236,-0.19095087,-0.040048774,0.078243464,0.12176191,-0.09848597,0.4654138,-0.049662642,0.053825222,-0.23227262,0.48077562,-0.15495645,-0.23009437,-0.20299755,-0.11091702,0.040372476,-0.06326863,0.08032702,-0.36240664,-0.16442773,-0.122924015,0.1564577
3971439,1.8668284,0.74785525,-0.79307467,0.61685205,0.11527324,0.043155953,-0.04002257,-0.20038657,0.22137786,0.49417764,-0.05810137,-0.04082849,0.37263432,-0.05180909,0.006963803,0.118302815,-0.14002216,-0.0006895864,0.13856968,0.08657692,-0.19644634,0.26216078,0.0568709,0.060595155,-0.1675125,-0.23963419,-0.052444205,0.11022397,0.102675855,0.1742048,-0.14703357,-0.11423697
119089130,2.0798867,-0.9676097,-0.029717902,1.1831179,0.5132703,0.9438943,0.42275724,-0.042607956,-0.5758463,-0.0047579412,0.15910101,-0.059654657,0.50500256,0.041187905,-0.09089784,-0.108568594,-0.40628994,-0.042293016,0.13161303,-0.22266366,0.042848475,0.2774121,0.1549405,-0.13505705,0.22426155,0.06798471,-0.0056120814,0.17104317,-0.07803662,-0.072594196,-0.17484194,0.0685992
3946897,1.0922145,-0.13550797,0.073725656,-0.6372677,0.22008942,-0.31419277,-0.4382141,-0.39268026,0.33601427,-0.14455946,-0.01697532,-0.11720218,-0.13702033,0.047893364,0.31406504,-0.120484285,0.13868108,-0.42907614,-0.20061278,-0.033861592,0.21917717,0.18279175,-0.056173842,0.06732743,0.06567679,0.07179555,0.0751425,0.15137376,-0.029590102,-0.16358563,0.09855288,0.111242145
4124541,3.2634892,0.06534941,-0.1985163,0.43914953,-0.24440515,0.28411844,-0.09903752,-0.012359725,0.30890676,-0.12861685,-0.15558176,0.16721115,0.1760642,0.06951052,0.05616835,0.12560107,-0.24102154,0.0011130193,0.07093618,-0.1643991,-0.12880732,-0.040492296,-0.008423591,-0.29325986,-0.13325723,-0.06951149,-0.40564072,0.098343015,0.028661354,0.20707189,0.14026171,0.027599081
2060447733,2.2782223,-1.2804571,0.17750141,0.17555419,-0.42170167,0.38631094,-0.021253373,0.2571287,0.37919107,0.25869527,-0.68561673,0.11318792,0.14267549,0.33848405,-0.030855251,0.37943664,0.16218483,-0.15382108,-0.04056356,-0.28843874,0.38562688,-0.2375414,-0.22148131,-0.29770795,-0.13149561,0.045728363,0.04519176,0.17382276,-0.36776698,0.008658996,-0.082007304,0.069904834
245548621,0.74756235,-1.1334147,0.3346924,-0.3688367,0.42219013,0.39778414,-0.33372658,-0.07360158,-0.3664366,-0.44436124,-0.14956029,-0.2818803,0.03900544,0.20763849,-0.14545642,0.1484913,-0.11821446,-0.25232396,0.22357272,0.11233614,0.15448633,0.13765538,0.3386908,0.061867263,-0.2271121,0.110180885,0.037553526,0.19390038,0.11629719,0.07541496,-0.018016478,0.029874744
3631765,1.2225497,-1.3400036,1.7304311,-0.3777218,-0.14329842,0.09587051,0.076416224,0.5026541,-0.54389876,0.08888849,-0.0391404,-0.34420094,0.047169123,-0.07160415,0.25685817,-0.30674282,-0.28308266,0.06908652,-0.541224,0.26517153,0.21844804,0.13502921,-0.16539948,-0.30315623,-0.063719936,0.32241288,-0.12417665,-0.029242197,0.33155563,-0.03911517,0.068469234,-0.039127216
4157424,-1.486524,1.5533446,-0.92933553,-0.2870562,0.55161977,0.16125192,0.4920514,-0.07865082,0.026190242,0.5835847,-0.04349198,-0.20348588,-0.006896105,0.28234142,-0.45797995,-0.16991277,-0.17736274,0.009330579,0.24854721,0.042831875,0.311356,-0.16317421,-0.12181736,-0.08009693,0.10765783,-0.202402,0.17122722,0.10047558,-0.22327168,0.23557559,-0.03926751,-0.003439707
3919399,-0.90042174,-0.34283152,-0.7661829,-1.1223034,-0.31887057,0.80431587,0.051736627,-0.0035405962,-0.040293477,0.037669595,0.8549221,-0.25053826,0.44787928,-0.18473814,-0.045926284,-0.03589976,-0.11322063,0.16577397,-0.025648186,-0.30419585,-0.035029676,-0.030441558,0.09033573,0.5365972,0.117587425,0.11761685,-0.028754959,0.019260613,0.17799734,-0.26707473,-0.17748268,0.18406652
3973137,-2.786487,1.7149493,1.2991594,-0.1289229,0.111562915,0.4067081,-0.06598726,0.113106176,0.33205926,0.0420206,-0.13230552,0.52250534,0.72498953,-0.27967405,0.9817443,-0.40059868,0.7378326,0.3107552,0.24872738,0.4850877,0.07626903,-0.0918744,0.6115353,-0.60263026,-0.20131141,-0.12948564,0.12927274,0.06543436,-0.36278266,0.23961212,-0.051436204,0.01825776
3916504,0.8586251,1.9594747,-0.5939585,0.86285335,-0.16958503,-0.1094558,-0.8076438,-0.05040381,-0.353545,0.08572671,-0.051466636,-0.14153455,0.20084095,-0.60287,-0.26812947,-0.21295345,0.27315748,0.15028085,0.07536994,0.09552754,-0.033715658,0.19929874,-0.13947906,0.34688324,-0.109579235,0.008369384,-0.08076608,-0.20566233,0.034312606,-0.03263723,-0.038571678,-0.058809493
