zpid,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
4171164,0.119628765,0.029294064,0.034779564,-0.026971888,0.022319198,0.13227032,-0.23386614,0.075396866,-0.14441162,0.00068315526,0.08080082,0.03516811,0.11729528,0.06500579,0.009417141,0.14112191,-0.04635351,-0.12213559,-0.008400132,0.09263888,-0.011090155,0.009002718,-0.05200527,0.0040842923,0.094228245,-0.12633532,-0.057717785,-0.0143777495,0.041699827,-0.037115674,0.12240746,0.014602435
4016685,-0.20842308,-0.10799604,0.013788323,-0.2818579,-0.14226891,-0.0504125,0.1612031,-0.17448893,0.1712713,-0.06688332,0.100524016,-0.0023883332,-0.015438114,-0.07857287,0.09884697,-0.10124578,0.04203129,-0.013611397,-0.2502975,0.12344931,-0.034427382,-0.017466536,0.008416532,-0.051992327,-0.0139602665,-0.025140405,0.03409086,-0.07999695,0.026623225,0.07576381,0.037496395,0.048367348
3638932,0.18219632,0.11325499,0.03910682,0.037929,-0.037773736,-0.08322792,0.025577882,0.051148567,-0.026862405,0.06865333,0.059364725,-0.15073806,0.0016151324,-0.041738525,0.15666777,-0.09512532,0.22551027,-0.006280445,-0.011961695,0.11898081,0.051562104,0.056904305,-0.008463346,0.063567966,0.010243889,-0.048827264,0.0118032005,0.051096655,0.16771367,0.033750348,-0.017539725,-0.07680356
4116360,-0.20112608,-0.32704273,0.09753834,-0.11826536,0.050076444,-0.11621089,0.052719213,0.06498342,-0.26447135,0.028293665,0.034664705,0.07823436,0.10976152,-0.079094335,0.17794923,0.04854128,0.19525489,0.04417873,0.053769533,-0.097672395,-0.019288056,-0.16187803,0.07444862,0.01835439,-0.040207993,0.07823594,0.076123565,0.030176915,0.053089708,-0.024082964,-0.0058039716,0.0024274907
3946804,0.099488944,-0.059786968,-0.05491397,0.072156616,0.042239383,-0.11756836,0.11235592,0.11346888,-0.063346505,-0.20246114,0.2753263,-0.042719282,-0.07738669,-0.049700897,-0.0841074,-0.0047216695,-0.008574079,0.02679343,0.007659626,-0.020344267,-0.03893323,-0.0018874606,-0.08195044,-0.062768534,0.1980236,0.013443326,0.006049381,-0.035317183,0.012004897,-0.0007485499,0.05762375,0.06331041
3809704,-0.29974228,-0.17375317,0.013361742,-0.09293957,0.10277414,0.027301243,0.04963883,-0.1580161,-0.018954627,0.0176833,0.14020029,0.052301023,0.2062029,0.10248628,-0.043162808,-0.026622672,0.061610196,0.059704732,0.0044516805,-0.07153449,0.11061416,-0.03790813,-0.03068721,0.010075449,-0.008563254,0.16418228,-0.12352666,0.019160911,-0.011234376,-0.027492478,-0.03958578,0.010359453
2052958083,0.081059456,0.25030446,-0.027344018,-0.16340551,0.015200383,0.02451706,-0.16911714,-0.14719066,-0.06025371,0.03513556,-0.0053854436,0.011668851,-0.003540775,0.08035115,0.036907125,-0.0003414743,-0.06832261,0.042605188,0.06999463,-0.074530624,0.100205325,0.036964927,0.065034844,-0.12500557,-0.1338812,0.062943146,-0.0010743262,-0.0398907,-0.01690601,0.031108174,-0.002799646,0.08783766
2053039487,0.30113715,-0.11888998,0.02824833,-0.1759301,-0.09147965,0.031242099,-0.07183693,0.010146656,-0.19338556,0.06892366,-0.0011421185,-0.0035952802,-0.06387143,0.05977189,0.008747812,0.06130647,-0.16017078,0.12124091,-0.01892419,-0.06648146,0.002997322,0.09449109,-0.06561948,-0.15097779,-0.05042404,0.04823681,0.0058250683,0.07276297,-0.046264086,-0.008608183,-0.075943515,0.05055212
3971439,0.18927523,0.12701556,0.07419924,0.056448042,0.03415321,0.0030975668,0.10503757,0.030743996,-0.039867744,-0.028740948,0.0798245,-0.08738602,-0.014505545,-0.009172089,-0.09303457,-0.07224159,-0.030595126,-0.10385013,-0.13112618,0.07422399,0.08190446,0.00088646373,0.014312025,0.02320627,0.06996345,0.038324352,0.012169123,0.032532163,-0.05866693,0.006408817,0.047727972,-0.018833192
119089130,0.11226422,0.16158754,-0.086822465,0.08721446,0.012717605,0.057590153,-0.1754479,-0.052312605,-0.13035479,-0.040020537,0.007892454,0.051005926,0.024427688,-0.038499475,-0.10116683,-0.02956825,-0.11202208,-0.057771727,-0.13129462,0.12770247,0.040462937,0.027699947,-0.12876964,0.029733567,0.07805367,0.06554513,-0.07059976,-0.05127251,-0.019749781,-0.059510354,0.044710238,0.01176241
3946897,0.14849584,-0.116293654,-0.10635073,0.09649312,0.049564276,-0.013259387,0.005026496,-0.02764465,0.0071953884,-0.011219881,0.16024755,0.15985762,0.022451615,0.0067068143,0.024533775,0.0016667475,-0.072508655,0.102177694,0.05023311,0.06326059,-0.05077731,-0.12244672,0.010320374,0.08779747,0.009132903,-0.04554262,-0.008019181,-0.07583426,-0.07862291,0.03675323,-0.08843381,0.07927353
