Property Type,Sale Speed,City 1,City 2,Jaccard Similarity,Shared Words,Total Unique Words,Overlap %
Single Family,Fast,Chicago,New York,0.030927835051546393,3,97,6.0
Single Family,Fast,Chicago,Los Angeles,0.05263157894736842,5,95,10.0
Single Family,Fast,New York,Los Angeles,0.041666666666666664,4,96,8.0
Single Family,Slow,Chicago,New York,0.06382978723404255,6,94,12.0
Single Family,Slow,Chicago,Los Angeles,0.030927835051546393,3,97,6.0
Single Family,Slow,New York,Los Angeles,0.06382978723404255,6,94,12.0
Condo/Townhouse,Fast,Chicago,New York,0.08695652173913043,8,92,16.0
Condo/Townhouse,Fast,Chicago,Los Angeles,0.041666666666666664,4,96,8.0
Condo/Townhouse,Fast,New York,Los Angeles,0.05263157894736842,5,95,10.0
Condo/Townhouse,Slow,Chicago,New York,0.07526881720430108,7,93,14.000000000000002
Condo/Townhouse,Slow,Chicago,Los Angeles,0.07526881720430108,7,93,14.000000000000002
Condo/Townhouse,Slow,New York,Los Angeles,0.041666666666666664,4,96,8.0
