City,Property Type,Sale Speed,Word,Z-Score,Category
Chicago,Single Family,Fast,galewood,0.3162130693229494,Specific Locations
Chicago,Single Family,Fast,rehabbers,0.2985082987749242,Condition/Quality
Chicago,Single Family,Fast,tuckpointing,0.122017509299989,Specific Locations
Chicago,Single Family,Fast,ohare,0.1092910143494053,Specific Locations
Chicago,Single Family,Fast,metra,0.0599138013706899,Transit/Accessibility
Chicago,Single Family,Fast,rosemoor,0.0573014370657189,Specific Locations
Chicago,Single Family,Fast,2024,0.0518724362671663,Specific Locations
Chicago,Single Family,Fast,youll,0.0512913764269676,Specific Locations
Chicago,Single Family,Fast,gaulter,0.0452677385250941,Specific Locations
Chicago,Single Family,Fast,dormered,0.0384683538184445,Specific Locations
Chicago,Single Family,Fast,trex,0.0352548577241244,Specific Locations
Chicago,Single Family,Fast,sunroom,0.0339837760407337,Property Features
Chicago,Single Family,Fast,sauganash,0.0337930439333511,Specific Locations
Chicago,Single Family,Fast,wifi,0.0320830878770843,Amenities
Chicago,Single Family,Fast,greenview,0.0292335849169984,Outdoor/Views
Chicago,Single Family,Fast,2018,0.0281900232958079,Specific Locations
Chicago,Single Family,Fast,rehab,0.0224287139077258,Condition/Quality
Chicago,Single Family,Fast,walkable,0.0215968723600443,Transit/Accessibility
Chicago,Single Family,Fast,cta,0.0211124069094725,Transit/Accessibility
Chicago,Single Family,Fast,youre,0.0200350733953294,Specific Locations
Chicago,Single Family,Fast,oversized,0.0187302316088239,Specific Locations
Chicago,Single Family,Fast,paver,0.0176859131778987,Location/Neighborhood
Chicago,Single Family,Fast,schorsch,0.0165493316395206,Specific Locations
Chicago,Single Family,Fast,2021,0.0162184642977244,Specific Locations
Chicago,Single Family,Fast,miele,0.0150546704509865,Specific Locations
Chicago,Single Family,Fast,2017,0.0148453266999764,Specific Locations
Chicago,Single Family,Fast,rowhouse,0.0147638812939995,Specific Locations
Chicago,Single Family,Fast,2023,0.0146434319725662,Specific Locations
Chicago,Single Family,Fast,backyard,0.0144002429092975,Property Features
Chicago,Single Family,Fast,hardwood,0.0143477085127936,Amenities
Chicago,Single Family,Fast,humbolt,0.0119788868890761,Specific Locations
Chicago,Single Family,Fast,expressway,0.0119466857321433,Location/Neighborhood
Chicago,Single Family,Fast,2016,0.0118338147677467,Specific Locations
Chicago,Single Family,Fast,fridge,0.0117828137992357,Specific Locations
Chicago,Single Family,Fast,downspouts,0.0117027571140417,Specific Locations
Chicago,Single Family,Fast,expansive,0.0115140372477564,Specific Locations
Chicago,Single Family,Fast,barbeque,0.0113290347535946,Specific Locations
Chicago,Single Family,Fast,4226,0.0112553578310212,Specific Locations
Chicago,Single Family,Fast,budlong,0.0110969027129247,Specific Locations
Chicago,Single Family,Fast,3622,0.0110004527754295,Specific Locations
Chicago,Single Family,Fast,park,0.0107579074853138,Outdoor/Views
Chicago,Single Family,Fast,rosco,0.01040426826867,Specific Locations
Chicago,Single Family,Fast,millwork,0.0104015362715732,Specific Locations
Chicago,Single Family,Fast,seamlessly,0.0103924710553481,Specific Locations
Chicago,Single Family,Fast,cozy,0.0102406871815835,Specific Locations
Chicago,Single Family,Fast,garfield,0.0102353254754251,Specific Locations
Chicago,Single Family,Fast,garage,0.0099208707110645,Property Features
Chicago,Single Family,Fast,charming,0.0098642403466309,Specific Locations
Chicago,Single Family,Fast,oriole,0.009800076679136,Specific Locations
Chicago,Single Family,Fast,1000000,0.0095360854272843,Specific Locations
New York,Single Family,Fast,lirr,0.0430532315299612,Specific Locations
New York,Single Family,Fast,backsplash,0.0361893727915609,Amenities
New York,Single Family,Fast,8205,0.0330524005506648,Specific Locations
New York,Single Family,Fast,annadale,0.0285424294431074,Specific Locations
New York,Single Family,Fast,9794,0.028307037656053,Specific Locations
New York,Single Family,Fast,9792,0.0280332115338912,Specific Locations
New York,Single Family,Fast,costco,0.0277299075867568,Specific Locations
New York,Single Family,Fast,throggs,0.0226863654670902,Specific Locations
New York,Single Family,Fast,tottenville,0.0184288524564172,Specific Locations
New York,Single Family,Fast,auburndale,0.0162597999235828,Specific Locations
New York,Single Family,Fast,dinette,0.0158457462275833,Specific Locations
New York,Single Family,Fast,refinished,0.0140715335644205,Condition/Quality
New York,Single Family,Fast,dyker,0.0134732148802742,Specific Locations
