zpid,GT,GT_bool,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,no,no,no,no,"The property is a single house in Los Angeles, which has a fast selling limit of 12 days. The description indicates offers are due on April 2nd, suggesting it was on the market longer.","The property is a unique architectural compound with many features, but it may take longer to sell due to its specific appeal and higher price point in a competitive market.","The property is a single house in Los Angeles, and while it has appealing features, it may not sell quickly due to its age and the lack of fast-selling keywords in the description."
20491114,28,no,no,no,no,"The property is a single house in Los Angeles, which has a fast selling limit of 12 days. Without the actual time on market, we cannot determine if it sold fast.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and the age of the house may deter buyers.","The property is a single house in Los Angeles, which typically sells fast. However, the description lacks fast-selling keywords and the home is 96 years old, which may deter buyers."
31523142,101,no,yes,no,no,"The property sold in less than 97 days, which is considered fast for a condo in New York. Its appealing features likely contributed to the quick sale.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely sold slower than the average time of 97 days.","The property description lacks fast-selling keywords and is located in New York, where the average selling time for condos is 97 days. Without appealing features, it likely sold slower."
320255600,79,yes,no,no,no,"The property was likely sold slower than the 97-day threshold for condos in New York, as no specific time-on-market was provided to indicate a fast sale.","The property description lacks fast-selling keywords and includes features that may not appeal to all buyers, suggesting it may take longer than the average 83 days to sell.","The condo's description lacks fast-selling keywords and includes no mention of desirable features that typically attract quick buyers. The market time for condos in New York is 97 days, and this property may take longer."
89143226,53,no,no,no,no,"The property is a condo in Los Angeles, where the upper limit for fast selling is 20 days. Without the TOM provided, we cannot determine if it sold within that timeframe.","The property is a condo in Los Angeles, and while it has appealing features, it lacks fast-selling keywords and may take longer than the 20-day threshold.","The property is a condo in Los Angeles, which typically has a fast selling time of 20 days. However, the description lacks fast-selling keywords and may indicate a longer market time."
2054483780,0,yes,yes,no,no,"The property was sold fast as it is a condo in New York, which has a fast selling threshold of 97 days. The description suggests high demand due to its amenities and location.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely did not sell quickly.","The property is a new condo in Brooklyn, NY, with a luxurious description and numerous amenities, but it lacks fast-selling keywords. Therefore, it likely took longer than 83 days to sell."
30744217,66,yes,no,no,no,"The property is a condo/townhouse in New York and sold in more than 97 days, which exceeds the fast selling threshold for this type.","The property is a condo/townhouse in New York and the average selling time is 97 days. The description does not indicate any fast-selling keywords, suggesting a longer market time.","The property is a condo/townhouse in New York, which typically has a longer selling time. Given its age and the lack of fast-selling keywords, it likely sold slower than the average 97 days."
20120440,41,no,no,no,no,"The property was sold in more than 12 days, which exceeds the fast selling threshold for single houses in Los Angeles.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and focuses on development potential, suggesting a longer market time.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and focuses on development potential, suggesting a longer market time."
122659455,135,no,no,no,no,"The property is a condo in New York, which has a fast selling limit of 97 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property description lacks fast-selling keywords and is a studio in New York, which typically takes longer to sell. The average time for condos is 97 days.","The property is a studio condo in New York, which typically has a longer selling time. The description lacks fast-selling keywords, indicating it may not have sold quickly."
19965784,7,yes,no,no,yes,"The property was sold in Los Angeles, where the upper limit for fast selling is 12 days. The description does not provide the time on market, but it is likely longer given the details.","The property is well-described and has appealing features, but it lacks fast-selling keywords and is in a competitive market, which may lead to a longer selling time.","The property is located in a desirable area of Los Angeles with appealing features like a remodeled kitchen and ADU potential, which likely contributed to a fast sale."
244458249,157,no,no,no,no,"The property is a condo in New York, which has a fast selling limit of 97 days. Without the selling time provided, we cannot determine if it sold fast.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords and may take longer than the average 83 days to sell.","The property is a condo in New York, which typically has a longer selling time. Given its features, it may attract interest, but the overall market conditions suggest it may not sell quickly."
20504166,11,yes,no,yes,no,"The property was sold in Los Angeles, where the upper limit for condos is 20 days. If it took longer than that, it cannot be considered a fast sale.","The property is a well-remodeled condo in a desirable area of Los Angeles, featuring modern amenities and a bright, airy layout, which typically attracts buyers quickly.","The property is a condo in Los Angeles, which typically sells fast, but the age of the building (62 years) and the lack of fast-selling keywords suggest it may take longer to sell."
20442795,65,no,no,no,no,"The property is a condo in Los Angeles, where the upper limit for fast selling is 20 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo in Los Angeles, which typically sells fast, but the description lacks strong fast-selling keywords and the age of the property may deter some buyers.","The property is a condo/townhouse in Los Angeles, which typically sells fast, but the age of the property (56 years) and its specific features may have contributed to a longer selling time."
3851587,108,no,yes,no,no,"The condo sold in 30 days, which is within the 37-day limit for fast sales in Chicago for condos. Its prime location and luxury features likely contributed to the quick sale.","The property description includes several slow-selling discriminative words like 'doorperson' and 'amenity', suggesting it may not have sold quickly despite its appealing features.","The condo's description includes slow-selling words like 'doorperson' and 'amenity', indicating it may not have sold quickly. Additionally, the market dynamics in Chicago suggest a longer selling period."
3876648,48,no,no,yes,yes,"The property was likely sold over the 37-day limit for condos in Chicago, indicating it did not sell fast despite its appealing features and location.","The property is a rehabbed townhouse in a sought-after area with desirable features and discriminative words indicating fast-selling potential, likely leading to a quick sale.","The property is a rehabbed townhouse in a desirable location with many appealing features, which likely contributed to a fast sale in Chicago, well within the 37-day limit."
89074633,141,no,no,no,no,"The property is a condo in New York, which has a fast selling limit of 97 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is tenant-occupied until March, which may delay the sale process. Additionally, it lacks fast-selling keywords, indicating it may not sell quickly.","The property is tenant-occupied until March, which may delay the sale process. Additionally, the description lacks fast-selling keywords, indicating a potentially slower market response."
20746689,62,no,no,no,yes,"The property is a single house in Los Angeles, which has a fast selling limit of 12 days. Without the time on market provided, we cannot determine if it sold fast.","The property description emphasizes a price reduction for a quick sale, but it does not indicate a fast selling time. Given the LA market, it likely took longer than 12 days.","The property is in Los Angeles, CA, and has a strong appeal with its renovations and ADU. The description emphasizes quick sale and desirable location, likely leading to a fast sale."
20803674,101,no,no,no,no,"The property is a condo in Los Angeles, where the upper limit for fast selling is 20 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo in Los Angeles, which typically sells fast, but the description lacks strong fast-selling keywords and mentions a price reduction, indicating potential difficulty in selling.","The property is a condo in Los Angeles, which typically sells fast, but the age of the property (41 years) and the price reduction may indicate it took longer to sell."
19998238,25,no,no,no,no,"The property in Los Angeles was sold, but the time-on-market is not provided. However, given the fast selling limit of 12 days for single houses in LA, it likely took longer.","The property is located in Los Angeles and has a detailed description but lacks fast-selling keywords. Given the competitive market, it may take longer than 12 days to sell.","The property is a single house in Los Angeles, which typically sells fast. However, it lacks fast-selling keywords and has a longer age, suggesting it may not have sold quickly."
20173720,18,no,no,no,no,"The property is a single house in Los Angeles, which typically sells fast (12 days). However, the description does not provide the actual time on market, so I cannot confirm it was sold fast.","The property is a large single-family home in Los Angeles, which typically sells quickly, but the description lacks fast-selling keywords and may indicate a longer market time.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and has a longer age, suggesting it may not have sold quickly."
3690364,302,no,no,no,no,"The property was likely sold beyond the 37-day threshold for condos in Chicago, indicating it did not sell fast.","The property includes several slow-selling discriminative words like 'doorperson' and 'amenity', indicating it may not have sold quickly in the competitive Chicago market.","The property is located in Chicago and is a condo, which typically has a fast selling threshold of 37 days. However, the presence of slow-selling discriminative words suggests it may not have sold quickly."
2057626972,247,no,no,no,no,"The property is a condo in New York, which has a fast selling limit of 97 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo in New York, which typically has a longer selling time. The description lacks fast-selling keywords and emphasizes luxury, which may attract a niche market.","The property description emphasizes luxury and amenities, but lacks fast-selling keywords. Given the New York market, it likely took longer than 83 days to sell."
60266307,67,no,no,no,no,"The property was likely sold over the 37-day threshold for condos in Chicago, indicating it did not sell quickly despite its appealing features.","The property includes several slow-selling discriminative words like 'doorperson' and 'amenity', which may indicate a longer time on the market. Additionally, the age of the condo could also affect its appeal.","The condo's amenities and location are appealing, but the presence of slow-selling words like 'doorperson' and 'amenity' suggests it may not have sold quickly in Chicago."
20564163,40,no,no,yes,yes,"The property was sold in Los Angeles, where the upper limit for fast selling is 12 days. The description does not provide the time on market, but given the age and condition, it likely took longer.","The property is located in Los Angeles and sold quickly, within the 12-day limit for single houses. The description highlights its potential and desirable location, which likely attracted buyers.","The property is in Los Angeles and sold quickly, likely due to its desirable location near amenities and the potential for customization, appealing to buyers looking for investment opportunities."
19944699,4,yes,no,no,no,"The property is a single house in Los Angeles, which typically sells fast (12 days). However, the selling time is not provided, so we cannot determine if it sold fast.","The property is described with high-end finishes and luxury features, but lacks fast-selling keywords. Given the market, it may take longer to sell despite its appeal.","The property is a single house in Los Angeles, and while it has appealing features, it may not sell quickly due to its age and lack of fast-selling keywords in the description."
19868957,20,no,no,yes,yes,"The property in Los Angeles was likely sold slower than the 12-day threshold for single houses, as the description suggests it was an investment opportunity, which may take longer to sell.","The property is positioned as an excellent investment opportunity in a desirable area, which aligns with fast-selling characteristics in Los Angeles.","The property is located in Los Angeles and has appealing features like ADU potential and a good neighborhood, which likely contributed to a fast sale."
20744807,26,no,no,no,no,"The property is a single house in Los Angeles and sold in more than 12 days, which exceeds the fast selling threshold for the area.","The property is described as a 'diamond in the rough' needing imagination and a contractor, which suggests it may not attract quick buyers in the competitive Los Angeles market.","The property is described as a 'diamond in the rough' needing imagination and a contractor, which may deter buyers looking for move-in ready homes, leading to a slower sale."
219714742,221,no,no,no,no,"The property sold in New York, where the upper limit for condos is 97 days. Without the TOM provided, we cannot determine if it sold fast or not.","The property is a high-end condo in New York, but lacks fast-selling keywords and may take longer than the average 83 days for single houses in the area.","The property is a high-end condo in New York, but it lacks fast-selling keywords and has a complex description, suggesting it may take longer than the average 83 days to sell."
20761286,15,no,no,no,no,"The property in Los Angeles was sold, but the time-on-market is not provided. Given the fast selling limit is 12 days, we cannot determine if it sold fast.","The property features slow-selling keywords like 'Calcutta' and 'seamlessly', indicating it may not have sold quickly despite its appealing description and location.","The property features slow-selling words like 'Calcutta' and 'seamlessly', indicating it may not attract buyers quickly. Additionally, the average selling time for single houses in LA is 12 days."
3808530,69,no,no,yes,yes,"The property is a condo/townhouse in Chicago, and if it sold in more than 37 days, it did not meet the fast-selling criteria for the area.","The property is a well-priced, updated townhouse in a prime location with appealing features, which aligns with fast-selling characteristics in Chicago's market.","The property is a 5-bedroom townhouse in a desirable area of Chicago, with competitive pricing and numerous updates, likely attracting buyers quickly, thus sold fast."
4130050,198,no,no,yes,yes,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its attractive features.","The property is described as 'priced to sell' and has appealing features like updates and a great yard, which are likely to attract buyers quickly in Chicago.","The property is described as 'priced to sell' and features desirable attributes like a great yard and updates, which likely contributed to a fast sale in Chicago, well within the 37-day limit."
2068672812,43,no,no,no,no,"The property was likely sold slowly as single houses in Los Angeles have a fast selling limit of 12 days, and no time-on-market information is provided to indicate otherwise.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and focuses on potential rather than immediate appeal.","The property is a single house in Los Angeles, which typically sells fast, but its age and the need for potential development may slow down interest, leading to a longer sale time."
158513053,77,no,no,no,no,"The property was likely sold over the 37-day limit for Chicago single houses, given its extensive features and size, which may have extended the selling time.","The property has features that may appeal to families, but it includes terms like 'mudroom' which are associated with slower sales in Chicago. Additionally, the market conditions may affect the speed.","The property is a single-family home in Chicago, and while it has many appealing features, it may not sell quickly due to the presence of slow-selling words like 'mudroom' and 'rehabbed'."
20008297,27,no,no,no,no,"The property is a condo in Los Angeles, which typically sells fast. However, without the specific time-on-market data, we cannot confirm it was sold within the fast limit of 20 days.","The property is a condo in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and mentions a 59-year age, suggesting potential slow sales.","The property is a condo in Los Angeles, which typically sells fast, but the age of the building (59 years) and lack of fast-selling keywords suggest it may take longer to sell."
3797400,69,no,no,no,no,"The property was likely sold over the 37-day limit for single houses in Chicago, indicating it did not sell fast despite its appealing features.",The description lacks fast-selling keywords and includes terms associated with slower sales. The property may take longer to sell despite its good condition.,"The property is a single house in Chicago and sold in an unspecified time frame. Given the average selling time is 37 days, without a specific TOM, we cannot confirm it sold fast."
4018202,32,yes,no,no,no,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its appealing features.","The property has several features that may appeal to buyers, but the presence of slow-selling words like 'mudroom' and 'rehabbed' suggests it may not sell quickly in the market.","The property description includes features appealing to buyers, but it lacks fast-selling keywords. Given the Chicago market, it likely took longer than 37 days to sell."
